en;it;es;fr
You can't control anyone here.;Non puoi controllare nessuno qui.;;
You're out of \v[95]!;Hai finito la \v[95]!;;
Only \n[2] can use the \ni[11]!;Solo \n[2] può utilizzare il \ni[11]!;;
\lblSCABBARD\c[15]§ It contains all the weapons you'll find in your adventure!\lbl;\lblFODERA\c[15]§ Riponi qui tutte le armi che otterrai durante il gioco!\lbl;;
Sword already equipped.;Spada già equipaggiata.;;
You need \v[87] \ni[6] to upgrade.;Per potenziare hai bisogno di \v[87] \ni[6].;;
Hold ENTER to upgrade!;Tieni premuto INVIO per potenziare la spada!;;
Not enough orbs.;Non hai abbastanza sfere.;;
The door is closed.;La porta è chiusa.;La puerta está cerrada.;La porte est fermée.
This is not the time to leave.;Non è il momento di andarsene questo.;;
One more obelisk!;Un altro obelisco!;;
YOU ENABLE§ \c[14]Obelisk of the \map[King’s Castle]!;ATTIVI§ \c[14]Obelisco del \map[King’s Castle]!;;
YOU ENABLE§ \c[14]Obelisk of the \map[Rocky Mountains]!;ATTIVI§ \c[14]Obelisco delle \map[Rocky Mountains]!;;
YOU ENABLE§ \c[14]Obelisk of the \map[Dead Valley]!;ATTIVI§ \c[14]Obelisco della \map[Dead Valley]!;;
YOU ENABLE§ \c[14]Obelisk of the \map[Abyssal Waterfalls]!;ATTIVI§ \c[14]Obelisco della \map[Abyssal Waterfalls]!;;
YOU ENABLE§ \c[14]Obelisk of the \map[Kingdom Outskirts]!;ATTIVI§ \c[14]Obelisco della \map[Kingdom Outskirts]!;;
Not enough eggs.;Non hai abbastanza uova.;;
You need 1 \v[95] to upgrade.;Per potenziare hai bisogno di 1 \v[95].;;
You don’t have 1 \v[95].;Non hai 1 \v[95].;;
Not enough Dindini.;Non hai abbastanza Dindini.;;
Ciao;;;
